,DATE,OPEN,HIGH,LOW,CLOSE,SYMBOL,CLOSE_M1,CLOSE_M2,CLOSE_M3,CLOSE_M4,CLOSE_M5,DATE_RIGHT,AVG(VALUE)
0,2020-09-18,110.4000015258789,110.87999725341795,106.08999633789062,106.83999633789062,IBM,106.83999633789062,106.83999633789062,106.83999633789062,106.83999633789062,106.83999633789062,,3.14
1,2020-08-27,127.14250183105467,127.48500061035156,123.8324966430664,125.01000213623048,IBM,106.83999633789062,106.83999633789062,106.83999633789062,106.83999633789062,106.83999633789062,,3.14
2,2020-08-28,126.0124969482422,126.44249725341795,124.57749938964844,124.80750274658205,IBM,125.01000213623048,106.83999633789062,106.83999633789062,106.83999633789062,106.83999633789062,,3.14
3,2020-08-31,127.58000183105467,131.0,126.0,129.0399932861328,IBM,124.80750274658205,125.01000213623048,106.83999633789062,106.83999633789062,106.83999633789062,,3.14
4,2020-09-01,132.75999450683594,134.8000030517578,130.52999877929688,134.17999267578125,IBM,129.0399932861328,124.80750274658205,125.01000213623048,106.83999633789062,106.83999633789062,,3.14
5,2020-09-02,137.58999633789062,137.97999572753906,127.0,131.39999389648438,IBM,134.17999267578125,129.0399932861328,124.80750274658205,125.01000213623048,106.83999633789062,,3.14
6,2020-09-03,126.91000366210938,128.83999633789062,120.5,120.87999725341795,IBM,131.39999389648438,134.17999267578125,129.0399932861328,124.80750274658205,125.01000213623048,,3.14
7,2020-09-04,120.06999969482422,123.6999969482422,110.88999938964844,120.95999908447266,IBM,120.87999725341795,131.39999389648438,134.17999267578125,129.0399932861328,124.80750274658205,,3.14
8,2020-09-08,113.9499969482422,118.98999786376952,112.68000030517578,112.81999969482422,IBM,120.95999908447266,120.87999725341795,131.39999389648438,134.17999267578125,129.0399932861328,,3.14
9,2020-09-09,117.26000213623048,119.13999938964844,115.26000213623048,117.31999969482422,IBM,112.81999969482422,120.95999908447266,120.87999725341795,131.39999389648438,134.17999267578125,,3.14
10,2020-09-10,120.36000061035156,120.5,112.5,113.48999786376952,IBM,117.31999969482422,112.81999969482422,120.95999908447266,120.87999725341795,131.39999389648438,,3.14
11,2020-09-11,114.56999969482422,115.2300033569336,110.0,112.0,IBM,113.48999786376952,117.31999969482422,112.81999969482422,120.95999908447266,120.87999725341795,,3.14
12,2020-09-14,114.72000122070312,115.93000030517578,112.8000030517578,115.36000061035156,IBM,112.0,113.48999786376952,117.31999969482422,112.81999969482422,120.95999908447266,,3.14
13,2020-09-15,118.33000183105467,118.83000183105467,113.61000061035156,115.54000091552734,IBM,115.36000061035156,112.0,113.48999786376952,117.31999969482422,112.81999969482422,,3.14
14,2020-09-16,115.2300033569336,116.0,112.04000091552734,112.12999725341795,IBM,115.54000091552734,115.36000061035156,112.0,113.48999786376952,117.31999969482422,,3.14
15,2020-09-17,109.72000122070312,112.1999969482422,108.70999908447266,110.33999633789062,IBM,112.12999725341795,115.54000091552734,115.36000061035156,112.0,113.48999786376952,,3.14
16,2020-08-26,126.18000030517578,126.99250030517578,125.0824966430664,126.52249908447266,IBM,110.33999633789062,112.12999725341795,115.54000091552734,115.36000061035156,112.0,,3.14
17,2020-09-21,104.54000091552734,110.19000244140624,103.0999984741211,110.08000183105467,IBM,126.52249908447266,110.33999633789062,112.12999725341795,115.54000091552734,115.36000061035156,,3.14
18,2020-09-22,112.68000030517578,112.86000061035156,109.16000366210938,111.80999755859376,IBM,110.08000183105467,126.52249908447266,110.33999633789062,112.12999725341795,115.54000091552734,,3.14
19,2020-09-23,111.62000274658205,112.11000061035156,106.7699966430664,107.12000274658205,IBM,111.80999755859376,110.08000183105467,126.52249908447266,110.33999633789062,112.12999725341795,,3.14
20,2020-09-24,105.16999816894533,110.25,105.0,108.22000122070312,IBM,107.12000274658205,111.80999755859376,110.08000183105467,126.52249908447266,110.33999633789062,,3.14
21,2020-09-25,108.43000030517578,112.44000244140624,107.66999816894533,112.27999877929688,IBM,108.22000122070312,107.12000274658205,111.80999755859376,110.08000183105467,126.52249908447266,,3.14
22,2020-09-28,115.01000213623048,115.31999969482422,112.77999877929688,114.95999908447266,IBM,112.27999877929688,108.22000122070312,107.12000274658205,111.80999755859376,110.08000183105467,,3.14
23,2020-09-29,114.5500030517578,115.30999755859376,113.56999969482422,114.08999633789062,IBM,114.95999908447266,112.27999877929688,108.22000122070312,107.12000274658205,111.80999755859376,,3.14
24,2020-09-30,113.79000091552734,117.26000213623048,113.62000274658205,115.80999755859376,IBM,114.08999633789062,114.95999908447266,112.27999877929688,108.22000122070312,107.12000274658205,,3.14
25,2020-10-01,117.63999938964844,117.72000122070312,115.83000183105467,116.79000091552734,IBM,115.80999755859376,114.08999633789062,114.95999908447266,112.27999877929688,108.22000122070312,,3.14
26,2020-10-02,112.88999938964844,115.37000274658205,112.22000122070312,113.0199966430664,IBM,116.79000091552734,115.80999755859376,114.08999633789062,114.95999908447266,112.27999877929688,,3.14
27,2020-10-05,113.91000366210938,116.6500015258789,113.5500030517578,116.5,IBM,113.0199966430664,116.79000091552734,115.80999755859376,114.08999633789062,114.95999908447266,,3.14
28,2020-10-06,115.6999969482422,116.12000274658205,112.25,113.16000366210938,IBM,116.5,113.0199966430664,116.79000091552734,115.80999755859376,114.08999633789062,,3.14
29,2020-10-07,114.62000274658205,115.5500030517578,114.12999725341795,115.08000183105467,IBM,113.16000366210938,116.5,113.0199966430664,116.79000091552734,115.80999755859376,,3.14
30,2020-10-08,116.25,116.4000015258789,114.58999633789062,114.97000122070312,IBM,115.08000183105467,113.16000366210938,116.5,113.0199966430664,116.79000091552734,,3.14
31,2020-10-09,115.27999877929688,117.0,114.91999816894533,116.97000122070312,IBM,114.97000122070312,115.08000183105467,113.16000366210938,116.5,113.0199966430664,,3.14
32,2020-08-05,109.37750244140624,110.39250183105467,108.89749908447266,110.0625,IBM,116.97000122070312,114.97000122070312,115.08000183105467,113.16000366210938,116.5,,3.14
33,2020-07-15,98.98999786376952,99.24749755859376,96.48999786376952,97.7249984741211,IBM,110.0625,116.97000122070312,114.97000122070312,115.08000183105467,113.16000366210938,,3.14
34,2020-07-16,96.5625,97.40499877929688,95.90499877929688,96.52249908447266,IBM,97.7249984741211,110.0625,116.97000122070312,114.97000122070312,115.08000183105467,,3.14
35,2020-07-17,96.9875030517578,97.14749908447266,95.83999633789062,96.32749938964844,IBM,96.52249908447266,97.7249984741211,110.0625,116.97000122070312,114.97000122070312,,3.14
36,2020-07-20,96.4175033569336,98.5,96.0625,98.35749816894533,IBM,96.32749938964844,96.52249908447266,97.7249984741211,110.0625,116.97000122070312,,3.14
37,2020-07-21,99.17250061035156,99.25,96.74250030517578,97.0,IBM,98.35749816894533,96.32749938964844,96.52249908447266,97.7249984741211,110.0625,,3.14
38,2020-07-22,96.69249725341795,97.9749984741211,96.60250091552734,97.27249908447266,IBM,97.0,98.35749816894533,96.32749938964844,96.52249908447266,97.7249984741211,,3.14
39,2020-07-23,96.99749755859376,97.07749938964844,92.01000213623048,92.84500122070312,IBM,97.27249908447266,97.0,98.35749816894533,96.32749938964844,96.52249908447266,,3.14
